student_ID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,School
0,female,NA,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,71,71,74,1
1,female,group C,some college,standard,NA,married,sometimes,yes,0,NA,5 to 10,69,90,88,1
2,female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,< 5,87,93,91,1
3,male,group A,associate's degree,free/reduced,none,married,never,no,1,NA,5 to 10,45,56,42,1
4,male,group C,some college,standard,none,married,sometimes,yes,0,school_bus,5 to 10,76,78,75,1
5,female,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,5 to 10,73,84,79,1
6,female,group B,some college,standard,completed,widowed,never,no,1,private,5 to 10,85,93,89,1
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,> 10,41,43,39,1
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,> 10,65,64,68,1
9,female,group B,high school,free/reduced,none,married,regularly,yes,NA,private,< 5,37,59,50,1
10,male,group C,associate's degree,standard,none,NA,sometimes,yes,1,private,5 to 10,58,54,52,1
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,5 to 10,40,52,43,1
12,female,group B,high school,standard,none,married,regularly,no,1,private,5 to 10,66,82,74,1
13,male,group A,some college,standard,completed,single,sometimes,yes,1,private,> 10,80,73,71,1
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,< 5,48,53,58,1
15,female,group C,some high school,standard,none,married,sometimes,yes,0,private,NA,69,75,78,1
16,male,group C,high school,standard,NA,married,sometimes,yes,0,school_bus,5 to 10,88,89,86,1
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,5 to 10,18,32,28,1
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,5 to 10,46,42,47,1
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,< 5,50,56,58,1
20,male,group D,high school,standard,none,married,sometimes,yes,5,school_bus,5 to 10,66,69,63,1
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,5 to 10,65,75,70,1
22,male,group D,NA,standard,none,married,never,yes,5,NA,5 to 10,42,53,51,1
23,female,group C,some high school,standard,none,divorced,never,no,3,NA,5 to 10,66,71,71,1
24,male,group D,NA,free/reduced,completed,married,sometimes,yes,2,school_bus,5 to 10,74,71,80,1
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,5 to 10,75,76,76,1
26,male,group B,some college,standard,none,married,sometimes,yes,5,school_bus,< 5,66,53,53,1
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,69,70,76,1
28,male,group C,high school,standard,none,married,sometimes,no,1,private,5 to 10,70,70,65,1
30,female,group D,some college,standard,none,single,sometimes,yes,0,private,< 5,66,72,72,1
31,female,group B,some college,standard,none,single,sometimes,yes,5,NA,5 to 10,63,65,61,1
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,5 to 10,56,73,66,1
33,male,NA,some college,standard,none,married,sometimes,no,2,private,5 to 10,40,42,38,1
34,male,group E,some college,standard,none,divorced,sometimes,yes,0,school_bus,NA,97,87,82,1
